CMDLINE /usr/bin/python3 main.py
MEM 0.750000 1736311801.1296
MEM 32.617188 1736311801.2299
MEM 46.710938 1736311801.3303
MEM 87.210938 1736311801.4306
MEM 168.585938 1736311801.5310
MEM 220.210938 1736311801.6313
MEM 246.585938 1736311801.7317
MEM 287.335938 1736311801.8320
MEM 310.710938 1736311801.9322
MEM 323.167969 1736311802.0325
MEM 331.417969 1736311802.1330
MEM 339.417969 1736311802.2332
MEM 350.917969 1736311802.3335
MEM 360.167969 1736311802.4338
MEM 374.917969 1736311802.5341
MEM 389.042969 1736311802.6344
MEM 404.542969 1736311802.7349
MEM 412.917969 1736311802.8352
MEM 426.042969 1736311802.9355
MEM 443.718750 1736311803.0358
MEM 451.718750 1736311803.1360
MEM 455.843750 1736311803.2362
MEM 456.593750 1736311803.3365
MEM 463.066406 1736311803.4372
MEM 463.066406 1736311803.5379
MEM 463.066406 1736311803.6382
MEM 463.066406 1736311803.7385
MEM 463.066406 1736311803.8387
MEM 463.066406 1736311803.9389
MEM 463.066406 1736311804.0392
MEM 463.066406 1736311804.1395
MEM 463.066406 1736311804.2397
MEM 463.066406 1736311804.3399
MEM 463.066406 1736311804.4403
MEM 481.277344 1736311804.5405
MEM 489.527344 1736311804.6408
MEM 502.652344 1736311804.7410
MEM 510.902344 1736311804.8412
MEM 519.777344 1736311804.9415
MEM 529.777344 1736311805.0418
MEM 532.402344 1736311805.1421
MEM 637.027344 1736311805.2431
MEM 932.277344 1736311805.3453
MEM 1440.152344 1736311805.4462
MEM 1604.218750 1736311805.5466
MEM 977.632812 1736311805.6479
MEM 1792.257812 1736311805.7493
MEM 1418.312500 1736311805.8497
MEM 932.390625 1736311805.9501
MEM 934.390625 1736311806.0504
MEM 942.765625 1736311806.1507
MEM 963.375000 1736311806.2511
MEM 981.500000 1736311806.3516
MEM 983.500000 1736311806.4519
MEM 987.375000 1736311806.5522
MEM 1002.375000 1736311806.6526
MEM 987.757812 1736311806.7529
MEM 987.757812 1736311806.8532
MEM 987.757812 1736311806.9536
MEM 1316.757812 1736311807.0544
MEM 1391.632812 1736311807.1562
MEM 2056.757812 1736311807.2573
MEM 1713.039062 1736311807.3577
MEM 1649.750000 1736311807.4588
MEM 2527.625000 1736311807.5606
MEM 995.925781 1736311807.6612
MEM 995.925781 1736311807.7615
MEM 1021.550781 1736311807.8618
MEM 1038.300781 1736311807.9621
MEM 1040.425781 1736311808.0624
MEM 1041.800781 1736311808.1627
MEM 1056.800781 1736311808.2630
MEM 1056.800781 1736311808.3634
MEM 1056.800781 1736311808.4637
MEM 1057.800781 1736311808.5640
MEM 1454.925781 1736311808.6667
MEM 1454.925781 1736311808.7686
MEM 1940.824219 1736311808.8690
MEM 1645.183594 1736311808.9702
MEM 2078.964844 1736311809.0712
MEM 2135.078125 1736311809.1715
MEM 1057.843750 1736311809.2718
MEM 1065.343750 1736311809.3720
MEM 1074.093750 1736311809.4723
MEM 1090.968750 1736311809.5725
MEM 1093.718750 1736311809.6729
MEM 1095.093750 1736311809.7732
MEM 1110.093750 1736311809.8735
MEM 1110.093750 1736311809.9738
MEM 1110.093750 1736311810.0740
MEM 1111.218750 1736311810.1744
MEM 1508.468750 1736311810.2767
MEM 1508.468750 1736311810.3783
MEM 2236.265625 1736311810.4786
MEM 1580.125000 1736311810.5796
MEM 1961.906250 1736311810.6804
MEM 2433.378906 1736311810.7808
MEM 1111.535156 1736311810.8811
MEM 1111.535156 1736311810.9814
MEM 1127.660156 1736311811.0816
MEM 1144.535156 1736311811.1818
MEM 1147.160156 1736311811.2820
MEM 1148.535156 1736311811.3824
MEM 1163.535156 1736311811.4827
MEM 1163.535156 1736311811.5830
MEM 1163.535156 1736311811.6834
MEM 1164.535156 1736311811.7837
MEM 1561.535156 1736311811.8861
MEM 1561.535156 1736311811.9876
MEM 2052.453125 1736311812.0881
MEM 1727.750000 1736311812.1893
MEM 2120.406250 1736311812.2902
MEM 2411.808594 1736311812.3906
MEM 1164.910156 1736311812.4909
MEM 1164.910156 1736311812.5911
MEM 1181.035156 1736311812.6914
MEM 1197.910156 1736311812.7917
MEM 1199.535156 1736311812.8920
MEM 1202.410156 1736311812.9922
MEM 1217.285156 1736311813.0925
MEM 1217.285156 1736311813.1928
MEM 1217.285156 1736311813.2931
MEM 1217.285156 1736311813.3951
MEM 1347.660156 1736311813.4962
MEM 1615.160156 1736311813.5984
MEM 2007.285156 1736311813.6994
MEM 2353.933594 1736311813.8008
MEM 1747.066406 1736311813.9012
MEM 2495.660156 1736311814.0024
MEM 1650.335938 1736311814.1028
MEM 1218.414062 1736311814.2031
MEM 1234.414062 1736311814.3033
MEM 1235.039062 1736311814.4036
MEM 1251.664062 1736311814.5038
MEM 1255.414062 1736311814.6041
MEM 1270.414062 1736311814.7043
MEM 1270.414062 1736311814.8046
MEM 1270.414062 1736311814.9050
MEM 1270.414062 1736311815.0053
MEM 1271.289062 1736311815.1057
MEM 1668.289062 1736311815.2078
MEM 1843.539062 1736311815.3092
MEM 2236.167969 1736311815.4106
MEM 2027.988281 1736311815.5119
MEM 2436.519531 1736311815.6129
MEM 1989.679688 1736311815.7133
MEM 1271.523438 1736311815.8137
MEM 1287.523438 1736311815.9140
MEM 1287.898438 1736311816.0143
MEM 1304.648438 1736311816.1146
MEM 1308.398438 1736311816.2149
